media_id,media_type,status,status_reason,source_name,organization,title,url,thumbnail_url,thumbnail_resolution,segment,hypothesis,view_count,like_count,comment_count,like_rate_pct,comment_rate_pct,category,relevance_score,reliability_score,authenticity_score,text_summary,scraped_at
video_000_00cnbqEcc_0,video,include,,Ashok Leyland Employee Testimonial - Kalaivani,Ashok Leyland,Ashok Leyland Employee Testimonial - Kalaivani,https://www.youtube.com/watch?v=00cnbqEcc_0,https://img.youtube.com/vi/00cnbqEcc_0/maxresdefault.jpg,maxresdefault,Employee Transport,H1,111036,1154,64,1.039,0.058,Video - YouTube,,,90,"YouTube video: ""Ashok Leyland Employee Testimonial - Kalaivani"" by Ashok Leyland. Segment: Employee Transport; hypothesis H1. Engagement: 111,036 views, 1,154 likes, 64 comments (like rate 1.039%).",2026-07-18T09:32:42.925838+00:00
video_001_hHMfA2Rp_nQ,video,include,,How To Start BUS BUSINESS ? | Road Tax | PERMIT | School Staff Tourist | बस बिज़नेस कैसे होता है ?,AAA Diecast & Vlogs Truck Talks,How To Start BUS BUSINESS ? | Road Tax | PERMIT | School Staff Tourist | बस बिज़नेस कैसे होता है ?,https://www.youtube.com/watch?v=hHMfA2Rp_nQ,https://img.youtube.com/vi/hHMfA2Rp_nQ/maxresdefault.jpg,maxresdefault,Employee Transport,H1,193190,3147,82,1.629,0.042,Video - YouTube,,,90,"YouTube video: ""How To Start BUS BUSINESS ? | Road Tax | PERMIT | School Staff Tourist | बस बिज़नेस कैसे होता है ?"" by AAA Diecast & Vlogs Truck Talks. Segment: Employee Transport; hypothesis H1. Engagement: 193,190 views, 3,147 likes, 82 comments (like rate 1.629%).",2026-07-18T09:32:42.925838+00:00
video_002_78GnhTYkXT8,video,include,,The World Is Buying Electric Buses While Hydrogen Bus Fleets Collapse,The Electric Viking,The World Is Buying Electric Buses While Hydrogen Bus Fleets Collapse,https://www.youtube.com/watch?v=78GnhTYkXT8,https://img.youtube.com/vi/78GnhTYkXT8/maxresdefault.jpg,maxresdefault,General,H1,40219,2081,426,5.174,1.059,Video - YouTube,,,90,"YouTube video: ""The World Is Buying Electric Buses While Hydrogen Bus Fleets Collapse"" by The Electric Viking. Segment: General; hypothesis H1. Engagement: 40,219 views, 2,081 likes, 426 comments (like rate 5.174%).",2026-07-18T09:32:42.925838+00:00
video_003_GAH0Nut_6AQ,video,include,,Eicher INTERCITY Coach EV | 56 Seater New Launch Bus Review | Auto Expo 2025 | Eicher Motors,Usha Ki Kiran,Eicher INTERCITY Coach EV | 56 Seater New Launch Bus Review | Auto Expo 2025 | Eicher Motors,https://www.youtube.com/watch?v=GAH0Nut_6AQ,https://img.youtube.com/vi/GAH0Nut_6AQ/maxresdefault.jpg,maxresdefault,Employee Transport,H1,434968,3352,103,0.771,0.024,Video - YouTube,,,90,"YouTube video: ""Eicher INTERCITY Coach EV | 56 Seater New Launch Bus Review | Auto Expo 2025 | Eicher Motors"" by Usha Ki Kiran. Segment: Employee Transport; hypothesis H1. Engagement: 434,968 views, 3,352 likes, 103 comments (like rate 0.771%).",2026-07-18T09:32:42.925838+00:00
video_004_Xe2d1QOwMyE,video,include,,Ashok leyland new electric bus Switch Eiv12 | Review,INDIAN TRANSPORT TOUR,Ashok leyland new electric bus Switch Eiv12 | Review,https://www.youtube.com/watch?v=Xe2d1QOwMyE,https://img.youtube.com/vi/Xe2d1QOwMyE/maxresdefault.jpg,maxresdefault,Employee Transport,H1,33035,662,36,2.004,0.109,Video - YouTube,,,90,"YouTube video: ""Ashok leyland new electric bus Switch Eiv12 | Review"" by INDIAN TRANSPORT TOUR. Segment: Employee Transport; hypothesis H1. Engagement: 33,035 views, 662 likes, 36 comments (like rate 2.004%).",2026-07-18T09:32:42.925838+00:00
video_005_4nueUj_D5cc,video,include,,"Corporate Staff Bus Design 2025 | Luxury, Safety & Smart Features | Smart Drive Review",SmartDrive Reviews,"Corporate Staff Bus Design 2025 | Luxury, Safety & Smart Features | Smart Drive Review",https://www.youtube.com/watch?v=4nueUj_D5cc,https://img.youtube.com/vi/4nueUj_D5cc/maxresdefault.jpg,maxresdefault,Employee Transport,H1,67,2,,2.985,,Video - YouTube,,,90,"YouTube video: ""Corporate Staff Bus Design 2025 | Luxury, Safety & Smart Features | Smart Drive Review"" by SmartDrive Reviews. Segment: Employee Transport; hypothesis H1. Engagement: 67 views, 2 likes (like rate 2.985%).",2026-07-18T09:32:42.925838+00:00
video_006_ZaYMC04TMHU,video,include,,Tata Ultra Electric Bus 2026 Review – Electric Luxury & Comfort!,Car Master Hub,Tata Ultra Electric Bus 2026 Review – Electric Luxury & Comfort!,https://www.youtube.com/watch?v=ZaYMC04TMHU,https://img.youtube.com/vi/ZaYMC04TMHU/maxresdefault.jpg,maxresdefault,General/OEM,H2,1263,13,,1.029,,Video - YouTube,,,85,"YouTube video: ""Tata Ultra Electric Bus 2026 Review – Electric Luxury & Comfort!"" by Car Master Hub. Segment: General/OEM; hypothesis H2. Engagement: 1,263 views, 13 likes (like rate 1.029%).",2026-07-18T09:32:42.925838+00:00
video_007_2Q0lxlsMnzA,video,include,,Tata Ultra EV 9 Bus | Futuristic Innovation | Hindi Review | Auto Expo 2025 #tata #91trucks,91Trucks,Tata Ultra EV 9 Bus | Futuristic Innovation | Hindi Review | Auto Expo 2025 #tata #91trucks,https://www.youtube.com/watch?v=2Q0lxlsMnzA,https://img.youtube.com/vi/2Q0lxlsMnzA/maxresdefault.jpg,maxresdefault,General/OEM,H2,4849,56,8,1.155,0.165,Video - YouTube,,,85,"YouTube video: ""Tata Ultra EV 9 Bus | Futuristic Innovation | Hindi Review | Auto Expo 2025 #tata #91trucks"" by 91Trucks. Segment: General/OEM; hypothesis H2. Engagement: 4,849 views, 56 likes, 8 comments (like rate 1.155%).",2026-07-18T09:32:42.925838+00:00
video_008_NSF5ZiXvDA8,video,include,,APSRTC Clarifies | Electric Bus Introduction Poses No Threat to Employees,ETV Andhra Pradesh,APSRTC Clarifies | Electric Bus Introduction Poses No Threat to Employees,https://www.youtube.com/watch?v=NSF5ZiXvDA8,https://img.youtube.com/vi/NSF5ZiXvDA8/maxresdefault.jpg,maxresdefault,Employee Transport,H1,5333,42,2,0.788,0.038,Video - YouTube,,,85,"YouTube video: ""APSRTC Clarifies | Electric Bus Introduction Poses No Threat to Employees"" by ETV Andhra Pradesh. Segment: Employee Transport; hypothesis H1. Engagement: 5,333 views, 42 likes, 2 comments (like rate 0.788%).",2026-07-18T09:32:42.925838+00:00
video_009_6dOjqO03jvY,video,include,,Presenting the all-new Tata Intercity EV 2.0 | Redefining Urban Passenger Transport,Tata Motors Commercial Vehicles,Presenting the all-new Tata Intercity EV 2.0 | Redefining Urban Passenger Transport,https://www.youtube.com/watch?v=6dOjqO03jvY,https://img.youtube.com/vi/6dOjqO03jvY/maxresdefault.jpg,maxresdefault,General/OEM,H2,271466,2991,141,1.102,0.052,Video - YouTube,,,80,"YouTube video: ""Presenting the all-new Tata Intercity EV 2.0 | Redefining Urban Passenger Transport"" by Tata Motors Commercial Vehicles. Segment: General/OEM; hypothesis H2. Engagement: 271,466 views, 2,991 likes, 141 comments (like rate 1.102%).",2026-07-18T09:32:42.925838+00:00
